
SOURCE_OBJECT_TYPE            ,SOURCE_OBJECT_NAME                                                                                                              ,TARGET_OBJECT_NAME                                                                                                              ,GOVERNANCE_TAG                ,FREEZE_STATUS       ,E
------------------------------,--------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------,------------------------------,--------------------,-
TABLE                         ,PLAN_CUST                                                                                                                       ,ITSM_CORE_PLAN_CUSTOMER_XREF                                                                                                    ,保留                          ,FROZEN              ,Y
TABLE                         ,SYS_ROLE_USER                                                                                                                   ,ITSM_C_SYS_ROLE_USER_3945                                                                                                       ,保留                          ,FROZEN              ,Y
TABLE                         ,SYS_USER                                                                                                                        ,ITSM_C_SYS_USER_1907                                                                                                            ,保留                          ,FROZEN              ,Y
TABLE                         ,TAC01_FPSK                                                                                                                      ,ITSM_C_TAC01_FPSK_3634                                                                                                          ,保留                          ,FROZEN              ,Y
TABLE                         ,THT01_HTGL                                                                                                                      ,ITSM_C_THT01_HTGL_5428                                                                                                          ,保留                          ,FROZEN              ,Y
TABLE                         ,TIP01_PRICE                                                                                                                     ,ITSM_C_TIP01_PRICE_9185                                                                                                         ,保留                          ,FROZEN              ,Y
TABLE                         ,TIP03_ADJPRICE                                                                                                                  ,ITSM_C_TIP03_ADJPRICE_1890                                                                                                      ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT01_TIMEPOINT_AREA                                                                                                            ,ITSM_CORE_TIMEPOINT_RULE                                                                                                        ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT02_LIABILITYREG                                                                                                              ,ITSM_CORE_LIABILITY                                                                                                             ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT02_LIABILITYREGDT                                                                                                            ,ITSM_CORE_LIABILITY_DTL                                                                                                         ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT03_SYSCODES                                                                                                                  ,ITSM_CORE_TIT03_SYSCODES                                                                                                        ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT04_ARCHIVECODE                                                                                                               ,ITSM_CORE_TIT04_ARCHIVECODE                                                                                                     ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT05_REPAIRINFO                                                                                                                ,ITSM_C_T05_REPAIRINFO                                                                                                           ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT06_USERAREA                                                                                                                  ,ITSM_C_T06_USERAREA                                                                                                             ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT10_MAINTENANCEDAY                                                                                                            ,ITSM_C_T10_MAINT_DAY                                                                                                            ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT10_MAINTENANCE_LIABILITY                                                                                                     ,ITSM_C_T10_MAINT_LIAB                                                                                                           ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT10_MAIN_TRACK                                                                                                                ,ITSM_C_T10_MAIN_TRACK                                                                                                           ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT10_POS_DETAIL                                                                                                                ,ITSM_C_T10_POS_DETAIL                                                                                                           ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT11_MAINTENANCE_ATTC                                                                                                          ,ITSM_C_T11_MAINT_ATTC                                                                                                           ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT12_MAINTENANCE_ARCHIVE                                                                                                       ,ITSM_C_T12_MAINT_ARCH                                                                                                           ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT13_MAINTENANCE_OPEN                                                                                                          ,ITSM_C_TIT13_MAINTENANCE__1805                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT14_EQUIPMENT_OPEN                                                                                                            ,ITSM_C_TIT14_EQUIPMENT_OP_3954                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT15_EQUIPMENT_RENOVATE                                                                                                        ,ITSM_C_TIT15_EQUIPMENT_RE_0050                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT15_MAINTENANCE_RENOVATE                                                                                                      ,ITSM_C_TIT15_MAINTENANCE__2922                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT16_DEVICE_CHANGE                                                                                                             ,ITSM_C_TIT16_DEVICE_CHANG_1476                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT17_CUST_POS_DAILY                                                                                                            ,ITSM_C_TIT17_CUST_POS_DAI_5326                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT17_MAINTENANCE                                                                                                               ,ITSM_C_TIT17_MAINTENANCE_2087                                                                                                   ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT17_MAINTENANCE_PLAN                                                                                                          ,ITSM_C_TIT17_MAINTENANCE__6638                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT18_STORE_CLOSE                                                                                                               ,ITSM_C_TIT18_STORE_CLOSE_6260                                                                                                   ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT19_ON_CHOOSEDT                                                                                                               ,ITSM_C_TIT19_ON_CHOOSEDT_0774                                                                                                   ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT21_MAINTENANCE_DISPATCH                                                                                                      ,ITSM_C_TIT21_MAINTENANCE__1658                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT22_FETION_SEND                                                                                                               ,ITSM_C_TIT22_FETION_SEND_9075                                                                                                   ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT23_MAINTENANCE_D2D                                                                                                           ,ITSM_C_TIT23_MAINTENANCE__4990                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT24_MAINTENANCE_RV                                                                                                            ,ITSM_C_TIT24_MAINTENANCE__8921                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT25_ACCESSORIES_UPDATE                                                                                                        ,ITSM_C_TIT25_ACCESSORIES__0504                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT26_PAYLIST                                                                                                                   ,ITSM_C_TIT26_PAYLIST_5348                                                                                                       ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT27_CLOSE_BILLS                                                                                                               ,ITSM_C_TIT27_CLOSE_BILLS_4373                                                                                                   ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT28_FREE_REPLACE                                                                                                              ,ITSM_C_TIT28_FREE_REPLACE_6847                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT28_FREE_REPLACE_DT                                                                                                           ,ITSM_C_TIT28_FREE_REPLACE_0872                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIT29_NOCLOSE_TRACK                                                                                                             ,ITSM_C_TIT29_NOCLOSE_TRAC_3794                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TIV01_INVLIMIT                                                                                                                  ,ITSM_C_TIV01_INVLIMIT_1092                                                                                                      ,保留                          ,FROZEN              ,Y
TABLE                         ,TIV02_INVLIMIT_HI                                                                                                               ,ITSM_C_TIV02_INVLIMIT_HI_0918                                                                                                   ,保留                          ,FROZEN              ,Y
TABLE                         ,TIV11_DETAIL                                                                                                                    ,ITSM_C_TIV11_DETAIL_4361                                                                                                        ,保留                          ,FROZEN              ,Y
TABLE                         ,TIV12_DETAILDT                                                                                                                  ,ITSM_C_TIV12_DETAILDT_2770                                                                                                      ,保留                          ,FROZEN              ,Y
TABLE                         ,TKQ01_ATTENDANCE                                                                                                                ,ITSM_C_TKQ01_ATTENDANCE_7296                                                                                                    ,保留                          ,FROZEN              ,Y
TABLE                         ,TKQ02_ATTENDANCECOUNT                                                                                                           ,ITSM_C_TKQ02_ATTENDANCECO_7140                                                                                                  ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC01_MENUS                                                                                                                     ,ITSM_C_TMC01_MENUS_4395                                                                                                         ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC02_MENUSDT                                                                                                                   ,ITSM_C_TMC02_MENUSDT_6623                                                                                                       ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC03_USERMENUS                                                                                                                 ,ITSM_C_TMC03_USERMENUS_2644                                                                                                     ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC11_DEPARTMENTS                                                                                                               ,ITSM_C_TMC11_DEPARTMENTS_4609                                                                                                   ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC12_GROUPS                                                                                                                    ,ITSM_C_TMC12_GROUPS_2576                                                                                                        ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC13_USERS                                                                                                                     ,ITSM_C_TMC13_USERS_4077                                                                                                         ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC21_USERGROUP                                                                                                                 ,ITSM_C_TMC21_USERGROUP_7212                                                                                                     ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC22_USERBUSITYP                                                                                                               ,ITSM_C_TMC22_USERBUSITYP_1835                                                                                                   ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC31_GROUPRIGHT                                                                                                                ,ITSM_C_TMC31_GROUPRIGHT_7997                                                                                                    ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC41_ACCLOG                                                                                                                    ,ITSM_C_TMC41_ACCLOG_1754                                                                                                        ,保留                          ,FROZEN              ,Y
TABLE                         ,TMC42_CONNECTINFO                                                                                                               ,ITSM_C_TMC42_CONNECTINFO_1496                                                                                                   ,保留                          ,FROZEN              ,Y
