表名,是否代码命中,是否旧字典命中,代码命中文件数,代码来源示例(前5)
all_list_v,是,否,8,itsm.pbl/dddw_item_choose.srd; itsm.pbl/w_r_itsm_accessup.srw; itsm.pbl/w_r_itsm_accessup4pos.srw; itsm.pbl/w_r_itsm_equ_open.srw; itsm.pbl/w_r_itsm_renovate.srw
plan_biz_v,是,否,1,report.pbl/d_xs_openrep.srd
plan_cust,是,是,29,itsm.pbl/u_itsm_open.sru; itsm.pbl/u_itsm_renovate.sru; itsm.pbl/w_r_itsm_d2d.srw; itsm02.pbl/u_itsm_device_change.sru; new_deposit.pbl/d_plan_cust_edit_n.srd
sys_role_user,是,否,2,app_system.pbl/u_mc_user.sru; app_system.pbl/w_r_mc_areauser.srw
sys_user,是,否,2,app_system.pbl/u_mc_user.sru; app_system.pbl/w_r_mc_areauser.srw
tac01_acreceive,是,否,6,new_deposit.pbl/u_trans_in_ed1.sru; sale.pbl/nvo_saleservice.sru; trans.pbl/u_trans_in.sru; trans.pbl/u_trans_in_error.sru; trans.pbl/u_trans_in_error_change.sru
tac01_fpsk,是,否,6,lsgldata.pbl/d_ac_fpsk_edit.srd; lsgldata.pbl/d_ac_fpsk_list.srd; lsgldata.pbl/d_ac_fpsk_report.srd; lsgldata.pbl/d_ht_htgl_list.srd; lsgldata.pbl/d_ht_htgl_query.srd
tac11_paydays,是,否,3,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw
tac12_credlimit,是,否,22,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw; itsm.pbl/w_r_itsm_d2d.srw; itsm.pbl/w_r_itsm_d2d_cdjl.srw
tac13_credlimitdt,是,否,3,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw
tht01_htgl,是,否,5,lsgldata.pbl/d_ht_htgl_edit.srd; lsgldata.pbl/d_ht_htgl_list.srd; lsgldata.pbl/d_ht_htgl_query.srd; lsgldata.pbl/u_ac_fpsk.sru; lsgldata.pbl/u_ht_htgl.sru
tip01_price,是,否,2,base_cust.pbl/d_ip_itemprice_grid.srd; base_cust.pbl/d_mm_items_list.srd
tip03_adjprice,是,否,4,price.pbl/d_mm_adjprice_condition.srd; price.pbl/d_mm_adjprice_detail.srd; price.pbl/w_r_mm_adjprice.srw; purchase.pbl/d_pcplan_status_condition.srd
tip05_custdiscount,是,否,12,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw; itsm02.pbl/w_r_ex_gh.srw; sale.pbl/w_r_ex_audit_direct.srw
tip07_costprictrack,是,否,6,new_deposit.pbl/u_plan_report.sru; report.pbl/u_pc_history.sru; report.pbl/u_pc_history_d.sru; report.pbl/u_sc_report_d.sru; report.pbl/u_sl_status.sru
tip08_monthcost,是,否,1,wh_syc.pbl/w_r_wh_overlost.srw
tit01_timepoint_area,是,否,5,base_srv.pbl/gf_gettimept.srf; base_srv.pbl/gf_gettimept_bk.srf; itsm02.pbl/d_itsm_tp_levels_free.srd; itsm02.pbl/d_itsm_tp_levels_list.srd; itsm02.pbl/d_itsm_tp_levels_list_query.srd
tit01_timepoint_cust,是,否,1,base_srv.pbl/gf_gettimept_bk.srf
tit02_liabilityreg,是,否,6,itsm.pbl/d_itsm_liab_free.srd; itsm.pbl/d_itsm_liab_list.srd; itsm.pbl/u_itsm_liab.sru; itsm02.pbl/dd_itsm_liab.srd; itsm02.pbl/u_itsm_liability_group.sru
