"来源文件","代码中引用表"
"base_srv.pbl/nvo_inifile.sru","a"
"base_srv.pbl/nvo_string.sru","a"
"itsm.pbl/dddw_item_choose.srd","ALL_LIST_V"
"itsm.pbl/w_r_itsm_accessup.srw","ALL_LIST_V"
"itsm.pbl/w_r_itsm_accessup4pos.srw","ALL_LIST_V"
"itsm.pbl/w_r_itsm_equ_open.srw","ALL_LIST_V"
"itsm.pbl/w_r_itsm_renovate.srw","ALL_LIST_V"
"itsm02.pbl/w_r_itsm_device_change.srw","ALL_LIST_V"
"itsm02.pbl/w_r_itsm_replace.srw","ALL_LIST_V"
"report.pbl/d_mm_pos_r_eid_all.srd","ALL_LIST_V"
"base_objects.pbl/u_dw.sru","an"
"base_srv.pbl/nvo_inifile.sru","an"
"base_srv.pbl/w_p_wait.srw","animation"
"base_srv.pbl/nvo_string.sru","array"
"trans.pbl/ds_asset_change_v_table.srd","asset_change_v_table"
"base_srv.pbl/nvo_filesrv_unicode.sru","being"
"base_srv.pbl/nvo_filesrv_win32.sru","being"
"base_srv.pbl/nvo_resize.sru","being"
"trans.pbl/ds_case_item_v_table.srd","case_item_v_table"
"base_objects.pbl/u_cbx.sru","checkbox"
"itsm.pbl/u_itsm_noclose.sru","checkbox"
"itsm.pbl/u_itsm_rep_maintenanceday.sru","checkbox"
"itsm.pbl/u_itsm_rep_mday_myd.sru","checkbox"
"itsm.pbl/u_itsm_rep_noclose.sru","checkbox"
"itsm.pbl/u_itsm_rep_opchfr.sru","checkbox"
"itsm02.pbl/u_itsm_rep_accessories_update.sru","checkbox"
"itsm02.pbl/u_itsm_rep_cust_info.sru","checkbox"
"itsm02.pbl/u_itsm_rep_maintenance_daily.sru","checkbox"
"kq.pbl/u_itsm_rep_zqx.sru","checkbox"
"lsgldata.pbl/u_itsm_rep_cust_smq.sru","checkbox"
"lsgldata.pbl/u_itsm_rep_custeqp_info.sru","checkbox"
"lsgldata.pbl/u_jy_scb_mdjy_dl.sru","checkbox"
"lsgldata.pbl/u_jy_scb_mdjy_dldate.sru","checkbox"
"lsgldata.pbl/u_jy_scb_mdjy_item.sru","checkbox"
"lsgldata.pbl/u_jy_scb_mdjy_rjmx.sru","checkbox"
"lsgldata.pbl/u_jy_scb_mdjy.sru","checkbox"
"lsgldata.pbl/u_jy_scb_sjjy.sru","checkbox"
"lsgldata.pbl/u_jy_ssb_cust_info.sru","checkbox"
"lsgldata.pbl/u_mm_cust_g3.sru","checkbox"
"lsgldata.pbl/u_mm_fixedasset_query.sru","checkbox"
"lsgldata.pbl/u_mm_fixedasset.sru","checkbox"
"lsgldata.pbl/u_mm_g3no.sru","checkbox"
"lsgldata.pbl/u_mm_txkmg_query.sru","checkbox"
"lsgldata.pbl/u_mm_txkmg.sru","checkbox"
"new_deposit.pbl/u_asset_report.sru","checkbox"
"new_deposit.pbl/u_deposit_confrim.sru","checkbox"
"new_deposit.pbl/u_deposit_report_ed2.sru","checkbox"
"new_deposit.pbl/u_deposit_report.sru","checkbox"
"new_deposit.pbl/u_itsm_rep_maintenanceday_ex.sru","checkbox"
"new_deposit.pbl/u_itsm_rep_maintenanceday_ex1.sru","checkbox"
"new_deposit.pbl/u_plan_befor_new.sru","checkbox"
"new_deposit.pbl/u_plan_report.sru","checkbox"
"new_deposit.pbl/w_plan_cust_befor_new.srw","checkbox"
"qc.pbl/u_qc_rep_result.sru","checkbox"
"report.pbl/u_item_stock_report.sru","checkbox"
"report.pbl/u_item_stock.sru","checkbox"
"sale.pbl/u_plan_befor.sru","checkbox"
"sale.pbl/u_plan_imple.sru","checkbox"
"sale.pbl/u_plancust_check.sru","checkbox"
"sale.pbl/u_serve_cust.sru","checkbox"
"sale.pbl/u_serve_imple.sru","checkbox"
"sale.pbl/u_serve_plan.sru","checkbox"
"sale.pbl/u_server_call.sru","checkbox"
"sale.pbl/w_plan_cust_befor.srw","checkbox"
"wh_syc.pbl/w_wh_whin_input.srw","checkbox"
"app_main.pbl/u_startpage_bak.sru","commandbutton"
"app_main.pbl/u_startpage_inv.sru","commandbutton"
"appraisal.pbl/w_app_pop.srw","commandbutton"
"base_objects.pbl/u_cb.sru","commandbutton"
"base_srv.pbl/w_r_viewtext_c.srw","commandbutton"
"itsm.pbl/u_itsm_archive.sru","commandbutton"
"itsm.pbl/u_itsm_open.sru","commandbutton"
"itsm.pbl/u_itsm_rcwh_h.sru","commandbutton"
"itsm.pbl/u_itsm_rcwh_ve.sru","commandbutton"
"itsm.pbl/u_itsm_renovate.sru","commandbutton"
"itsm.pbl/u_itsm_rep_archive.sru","commandbutton"
"itsm.pbl/w_cancel_messagebox.srw","commandbutton"
"itsm.pbl/w_tv_itsm_selcode.srw","commandbutton"
"itsm02.pbl/u_ex_gh.sru","commandbutton"
"itsm02.pbl/u_itsm_device_change.sru","commandbutton"
"itsm02.pbl/u_itsm_free_replace.sru","commandbutton"
