旧字典表名,来源
ACCESSORIES_ID,旧字典doc抽取
ACCESSORIES_TYPE,旧字典doc抽取
ACCPECTD_GROUP,旧字典doc抽取
AD_VIDEO,旧字典doc抽取
ARRIVE_TIME,旧字典doc抽取
ATTC_ID,旧字典doc抽取
BACK_STATUS,旧字典doc抽取
BILL_ID,旧字典doc抽取
BUSINESS_OPERATION_ID,旧字典doc抽取
CASE_NO,旧字典doc抽取
CHANGE_TYPE,旧字典doc抽取
CLOSE_TIME,旧字典doc抽取
CLOSE_TYPE,旧字典doc抽取
COMPANY_ID,旧字典doc抽取
CREATE_TIME,旧字典doc抽取
CURRENT_STATUS,旧字典doc抽取
CUST_USEFLG,旧字典doc抽取
D2D_DESCRIPITON,旧字典doc抽取
D2D_ENGINEER,旧字典doc抽取
D2D_GROUP,旧字典doc抽取
D2D_PHONE,旧字典doc抽取
D2D_TYPE,旧字典doc抽取
DELIVER_NO,旧字典doc抽取
DETAIL_DESCRIPTION,旧字典doc抽取
DEVICE_CHANGE_ID,旧字典doc抽取
DEVICE_ID,旧字典doc抽取
DISPATCH_BUSINESS_ID,旧字典doc抽取
DISPATCH_TIME,旧字典doc抽取
EMERGENCY_LEVEL,旧字典doc抽取
ENGINEER_ID,旧字典doc抽取
EXPECTED_COMPLETION_TIME,旧字典doc抽取
FAIL_REASON,旧字典doc抽取
FAULTCD_AUDIT,旧字典doc抽取
FAULT_DETAIL_TYPE,旧字典doc抽取
FAULT_TYPE,旧字典doc抽取
FIRST_TIME,旧字典doc抽取
IMPLE_DATE,旧字典doc抽取
IMPLE_MARK,旧字典doc抽取
IMPLE_RESULT,旧字典doc抽取
IMPLE_STATUS,旧字典doc抽取
INSERT_TIME,旧字典doc抽取
IS_ARCHIVE,旧字典doc抽取
IS_AUDIT,旧字典doc抽取
IS_BACK,旧字典doc抽取
IS_CHANGE,旧字典doc抽取
IS_CONTRACT,旧字典doc抽取
IS_FINISH,旧字典doc抽取
IS_NEW,旧字典doc抽取
IS_OLD,旧字典doc抽取
IS_OUTFLAG,旧字典doc抽取
IS_STORE_INSIDE_CHANGE,旧字典doc抽取
IS_SUCCESS,旧字典doc抽取
JL_CONTACTOR,旧字典doc抽取
JL_PHONENO,旧字典doc抽取
LEAVE_TIME,旧字典doc抽取
MAINTENANCE_ID,旧字典doc抽取
MAINTENANCE_TYPE,旧字典doc抽取
NEW_ACCESSORIES_ID,旧字典doc抽取
NEW_ADDRESS,旧字典doc抽取
NEW_CONTACTOR,旧字典doc抽取
NEW_CUSTCARD,旧字典doc抽取
NEW_CUSTCD,旧字典doc抽取
NEW_CUSTNM,旧字典doc抽取
NEW_DEVICE_ID,旧字典doc抽取
NEW_OPENING_ID,旧字典doc抽取
NEW_PHONENO,旧字典doc抽取
NEW_POSID,旧字典doc抽取
NEW_POSITEM,旧字典doc抽取
NEW_STORE_CARD,旧字典doc抽取
NEW_STORE_ID,旧字典doc抽取
NEW_TEL,旧字典doc抽取
OLD_ACCESSORIES_ID,旧字典doc抽取
OLD_BUSINESS_ID,旧字典doc抽取
OLD_DEVICE_ID,旧字典doc抽取
OLD_MODEL,旧字典doc抽取
OLD_NAME,旧字典doc抽取
OLD_SERIALNO,旧字典doc抽取
PLAN_CUST,旧字典doc抽取
PLAN_NO,旧字典doc抽取
PLAN_REQUIRE,旧字典doc抽取
PLAN_SERVE,旧字典doc抽取
PLAN_SERVER,旧字典doc抽取
PLAN_STATUS,旧字典doc抽取
PL_SERVE_TASK,旧字典doc抽取
POS_FROM,旧字典doc抽取
POS_ITEM,旧字典doc抽取
PROPO_ITEM,旧字典doc抽取
RENEW_ID,旧字典doc抽取
RENOVATE_ID,旧字典doc抽取
REQUEST_TIME,旧字典doc抽取
REQUSET_PAPER_ID,旧字典doc抽取
REVISIT_TIME,旧字典doc抽取
RV_OPERATOR,旧字典doc抽取
RV_TIME,旧字典doc抽取
SEND_DATE,旧字典doc抽取
SENT_COUNT,旧字典doc抽取
SENT_OPERATOR,旧字典doc抽取
SENT_STATUS,旧字典doc抽取
SENT_TIME,旧字典doc抽取
SERVER_CALL,旧字典doc抽取
SERVE_BACK,旧字典doc抽取
