来源文件,状态字段,比较符,值(片段)
appraisal.pbl/d_supscoretype_list_y.srd,useflg,=,'Y'
appraisal.pbl/d_supscoretype_pop.srd,useflg,=,'Y'
appraisal.pbl/u_app_audit.sru,is_mfidfilter,=,' 1=1 '
appraisal.pbl/u_app_audit.sru,is_mktfilter,=,' 1=1 '
appraisal.pbl/u_app_audit.sru,is_col_rowno,=,''
appraisal.pbl/u_app_audit.sru,is_col_seqno,=,''
appraisal.pbl/u_app_audit.sru,is_hd_djbh,=,''
appraisal.pbl/u_app_audit.sru,is_hd_seqno,=,''
appraisal.pbl/u_app_audit.sru,is_billstatus,=,'N'
appraisal.pbl/u_app_audit.sru,is_col_rowno,=,'rowno'
appraisal.pbl/u_app_audit.sru,is_col_seqno,=,'billno'
appraisal.pbl/u_app_audit.sru,is_hd_djbh,=,'djbh'
appraisal.pbl/u_app_audit.sru,is_hd_seqno,=,'billno'
appraisal.pbl/u_app_audit.sru,is_taskid,=,'S01'
appraisal.pbl/u_app_audit.sru,is_appid,=,''
appraisal.pbl/u_app_audit.sru,is_appid,=,''
appraisal.pbl/u_app_audit.sru,is_billno,=,''
appraisal.pbl/u_app_audit.sru,is_title,=,'新增'
appraisal.pbl/u_app_audit.sru,useflg,=,'N'
appraisal.pbl/u_app_audit.sru,is_title,=,'修改'
appraisal.pbl/u_app_audit.sru,is_costtype,=,'2'
appraisal.pbl/u_app_manage.sru,is_mfidfilter,=,' 1=1 '
appraisal.pbl/u_app_manage.sru,is_mktfilter,=,' 1=1 '
appraisal.pbl/u_app_manage.sru,is_add,=,'0'
appraisal.pbl/u_app_manage.sru,is_col_rowno,=,''
appraisal.pbl/u_app_manage.sru,is_col_seqno,=,''
appraisal.pbl/u_app_manage.sru,is_hd_djbh,=,''
appraisal.pbl/u_app_manage.sru,is_hd_seqno,=,''
appraisal.pbl/u_app_manage.sru,useflg,=,'1'
appraisal.pbl/u_app_manage.sru,is_billstatus,=,'N'
appraisal.pbl/u_app_manage.sru,is_col_rowno,=,'rowno'
appraisal.pbl/u_app_manage.sru,is_col_seqno,=,'billno'
appraisal.pbl/u_app_manage.sru,is_hd_djbh,=,'djbh'
appraisal.pbl/u_app_manage.sru,is_hd_seqno,=,'billno'
appraisal.pbl/u_app_manage.sru,is_taskid,=,'S01'
appraisal.pbl/u_app_manage.sru,is_add,=,'1'
appraisal.pbl/u_app_manage.sru,is_add,=,'1'
appraisal.pbl/u_app_manage.sru,is_add,=,'0'
appraisal.pbl/u_app_manage.sru,is_appid,=,''
appraisal.pbl/u_app_manage.sru,is_add,=,'1'
appraisal.pbl/u_app_manage.sru,is_appid,=,''
appraisal.pbl/u_app_manage.sru,useflg,=,'N'
appraisal.pbl/u_app_manage.sru,useflg,<>,'9'
appraisal.pbl/u_app_manage.sru,is_title,=,'修改'
appraisal.pbl/u_app_manage.sru,is_costtype,=,'2'
appraisal.pbl/u_mc_app_info.sru,is_title,=,'供应商'
app_d.pbl/d_mc_areausers.srd,useflg,=,'1'
app_d.pbl/d_mc_busityp_form.srd,useflg,=,'1'
app_d.pbl/d_mc_funcd_groupright.srd,childflg,=,'0'
app_d.pbl/d_mc_funcd_groupright.srd,childflg,=,'1'
app_d.pbl/d_mc_funcd_groupright.srd,childflg,=,'1'
app_d.pbl/d_mc_groupusers.srd,useflg,=,'1'
app_d.pbl/d_mc_menu_right.srd,useflg,=,'1'
app_d.pbl/d_mc_menu_right.srd,childflg,=,'1'
app_d.pbl/d_mc_menu_right.srd,useflg,=,'1'
app_d.pbl/d_mc_menu_right.srd,childflg,=,'0'
app_d.pbl/d_mc_usergroup.srd,useflg,=,'1'
app_d.pbl/d_mc_usermenu_grid.srd,useflg,=,'1'
app_d.pbl/d_mc_usermenu_grid.srd,childflg,=,'0'
app_d.pbl/d_mm_country_list.srd,useflg,=,'1'
app_d.pbl/d_mm_province_list.srd,useflg,=,'1'
app_d.pbl/d_mm_town_list.srd,useflg,=,'1'
app_dddw.pbl/dd_mc_dept_valid.srd,useflg,=,'1'
app_dddw.pbl/dd_mc_groups_valid.srd,useflg,=,'1'
app_dddw.pbl/dd_mc_users_valid.srd,useflg,=,'1'
app_dddw.pbl/dd_mc_warehouse_valid.srd,useflg,=,'1'
app_dddw.pbl/dd_mm_address.srd,useflg,=,'1'
app_dddw.pbl/dd_mm_city.srd,useflg,=,'1'
app_dddw.pbl/dd_mm_commmode.srd,useflg,=,'1'
app_dddw.pbl/dd_mm_country.srd,useflg,=,'1'
app_dddw.pbl/dd_mm_custclass_useflg.srd,useflg,=,'1'
app_dddw.pbl/dd_mm_itemunit_inuse.srd,useflg,=,'1'
app_dddw.pbl/dd_mm_province.srd,useflg,=,'1'
app_dddw.pbl/dd_mm_syscodes.srd,useflg,=,'1'
app_dddw.pbl/dd_route.srd,useflg,=,'1'
app_dddw.pbl/dd_wh_overlost_tztype.srd,useflg,=,'1'
app_dddw.pbl/dd_wh_overlost_tzyy.srd,useflg,=,'1'
app_main.pbl/u_startpage.sru,useflg,=,1
app_main.pbl/u_startpage_bak.sru,is_value,<>,''
app_main.pbl/u_startpage_inv.sru,is_value,<>,''
app_objects.pbl/nvo_appservice.sru,useflg,=,1
app_objects.pbl/nvo_appservice.sru,useflg,=,'1'
app_objects.pbl/nvo_app_selectdata.sru,useflg,=,'1'
app_objects.pbl/nvo_app_selectdata.sru,useflg,<>,'9'
app_objects.pbl/nvo_app_selectdata.sru,useflg,<>,'9'
app_objects.pbl/nvo_app_selectdata.sru,useflg,=,'1'
app_objects.pbl/nvo_app_selectdata.sru,useflg,=,'1'
