模板类型,业务域,表名/代码集,中文名称,字段/状态码,字段中文名/状态名称,类型/长度,是否主键,是否必填,默认值,取值范围/状态流转,业务规则,来源PBL/对象,接口映射(预留),备注,治理标签
实体,ITSM,plan_biz_v,,,,,,,,,缺失对象(代码在用但实库未发现),report.pbl/d_xs_openrep.srd,,代码命中=True;旧字典命中=False;CCGL=False;CCGLlsgl=False;命中文件数=1,待迁移
实体,ITSM,plan_cust,,,,,,,,,保留(CCGL在用),itsm.pbl/u_itsm_open.sru; itsm.pbl/u_itsm_renovate.sru; itsm.pbl/w_r_itsm_d2d.srw; itsm02.pbl/u_itsm_device_change.sru; new_deposit.pbl/d_plan_cust_edit_n.srd,,代码命中=True;旧字典命中=True;CCGL=True;CCGLlsgl=False;命中文件数=29,保留
实体,ITSM,tit01_timepoint_area,,,,,,,,,保留(CCGL在用),base_srv.pbl/gf_gettimept.srf; base_srv.pbl/gf_gettimept_bk.srf; itsm02.pbl/d_itsm_tp_levels_free.srd; itsm02.pbl/d_itsm_tp_levels_list.srd; itsm02.pbl/d_itsm_tp_levels_list_query.srd,,代码命中=True;旧字典命中=False;CCGL=True;CCGLlsgl=False;命中文件数=5,保留
实体,ITSM,tit01_timepoint_cust,,,,,,,,,缺失对象(代码在用但实库未发现),base_srv.pbl/gf_gettimept_bk.srf,,代码命中=True;旧字典命中=False;CCGL=False;CCGLlsgl=False;命中文件数=1,待迁移
实体,ITSM,tit02_liabilityreg,,,,,,,,,保留(CCGL在用),itsm.pbl/d_itsm_liab_free.srd; itsm.pbl/d_itsm_liab_list.srd; itsm.pbl/u_itsm_liab.sru; itsm02.pbl/dd_itsm_liab.srd; itsm02.pbl/u_itsm_liability_group.sru,,代码命中=True;旧字典命中=False;CCGL=True;CCGLlsgl=False;命中文件数=6,保留
实体,ITSM,tit02_liabilityregdt,,,,,,,,,保留(CCGL在用),itsm.pbl/d_itsm_liabdt_free.srd; itsm.pbl/d_itsm_liabdt_list.srd; itsm.pbl/u_itsm_archivecode.sru; itsm.pbl/u_itsm_archivecode_bak.sru; itsm.pbl/u_itsm_liab.sru,,代码命中=True;旧字典命中=False;CCGL=True;CCGLlsgl=False;命中文件数=5,保留
实体,ITSM,tit03_syscodes,,,,,,,,,保留(CCGL在用),itsm02.pbl/d_itsm_syscodes_form.srd; itsm02.pbl/u_itsm_maintenance_daily.sru; itsm02.pbl/u_itsm_maintenance_daily_yc.sru,,代码命中=True;旧字典命中=False;CCGL=True;CCGLlsgl=False;命中文件数=3,保留
实体,ITSM,tit04_archivecode,,,,,,,,,保留(CCGL在用),itsm.pbl/d_itsm_archivecode_4_list.srd; itsm.pbl/d_itsm_archivecode_free.srd; itsm.pbl/d_itsm_archivecode_free_four.srd; itsm.pbl/d_itsm_archivecode_list.srd; itsm.pbl/dd_itsm_arch.srd,,代码命中=True;旧字典命中=False;CCGL=True;CCGLlsgl=False;命中文件数=12,保留
实体,ITSM,tit05_repairinfo,,,,,,,,,保留(CCGL在用),itsm.pbl/d_itsm_repdt_list01.srd; itsm.pbl/d_itsm_repdt_list02.srd; itsm.pbl/u_itsm_repairinfo.sru; itsm.pbl/w_r_itsm_accessup.srw,,代码命中=True;旧字典命中=False;CCGL=True;CCGLlsgl=False;命中文件数=4,保留
实体,ITSM,tit06_userarea,,,,,,,,,保留(CCGL在用),app_d.pbl/d_mc_areausers.srd; app_d.pbl/d_mc_userarea_grid.srd; app_system.pbl/u_mc_user.sru; app_system.pbl/w_r_mc_areauser.srw; itsm.pbl/d_divechange_report.srd,,代码命中=True;旧字典命中=False;CCGL=True;CCGLlsgl=False;命中文件数=14,保留
