模板类型,业务域,表名/代码集,中文名称,字段/状态码,字段中文名/状态名称,类型/长度,是否主键,是否必填,默认值,取值范围/状态流转,业务规则,来源PBL/对象,接口映射(预留),备注
实体,视图/报表,all_list_v,,,,,,,,,,itsm.pbl/dddw_item_choose.srd; itsm.pbl/w_r_itsm_accessup.srw; itsm.pbl/w_r_itsm_accessup4pos.srw,,来源=代码/旧字典，待实库校验
实体,ITSM,plan_biz_v,,,,,,,,,,report.pbl/d_xs_openrep.srd,,来源=代码/旧字典，待实库校验
实体,ITSM,plan_cust,,,,,,,,,,itsm.pbl/u_itsm_open.sru; itsm.pbl/u_itsm_renovate.sru; itsm.pbl/w_r_itsm_d2d.srw,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,sys_role_user,,,,,,,,,,app_system.pbl/u_mc_user.sru; app_system.pbl/w_r_mc_areauser.srw,,来源=代码/旧字典，待实库校验
实体,系统管理/基础信息,sys_user,,,,,,,,,,app_system.pbl/u_mc_user.sru; app_system.pbl/w_r_mc_areauser.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tac01_acreceive,,,,,,,,,,new_deposit.pbl/u_trans_in_ed1.sru; sale.pbl/nvo_saleservice.sru; trans.pbl/u_trans_in.sru,,来源=代码/旧字典，待实库校验
实体,未分类,tac01_fpsk,,,,,,,,,,lsgldata.pbl/d_ac_fpsk_edit.srd; lsgldata.pbl/d_ac_fpsk_list.srd; lsgldata.pbl/d_ac_fpsk_report.srd,,来源=代码/旧字典，待实库校验
实体,未分类,tac11_paydays,,,,,,,,,,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tac12_credlimit,,,,,,,,,,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tac13_credlimitdt,,,,,,,,,,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tht01_htgl,,,,,,,,,,lsgldata.pbl/d_ht_htgl_edit.srd; lsgldata.pbl/d_ht_htgl_list.srd; lsgldata.pbl/d_ht_htgl_query.srd,,来源=代码/旧字典，待实库校验
实体,未分类,tip01_price,,,,,,,,,,base_cust.pbl/d_ip_itemprice_grid.srd; base_cust.pbl/d_mm_items_list.srd,,来源=代码/旧字典，待实库校验
实体,未分类,tip03_adjprice,,,,,,,,,,price.pbl/d_mm_adjprice_condition.srd; price.pbl/d_mm_adjprice_detail.srd; price.pbl/w_r_mm_adjprice.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tip05_custdiscount,,,,,,,,,,base_cust.pbl/d_mm_customers_form.srd; base_cust.pbl/w_supplier_editdata.srw; base_cust.pbl/w_supplier_newdata.srw,,来源=代码/旧字典，待实库校验
实体,未分类,tip07_costprictrack,,,,,,,,,,new_deposit.pbl/u_plan_report.sru; report.pbl/u_pc_history.sru; report.pbl/u_pc_history_d.sru,,来源=代码/旧字典，待实库校验
