arch_cd,arch_nm,describe,arch_type,parent,child_flg,max_level,arch_group,fault_type,useflg,created_at,updated_at,uncheck
A,公共故障,,1,%,1,1,3,00,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
A1,配件损坏,配件损坏，无法运行|相对配件型号+A1,2,A,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
A2,连接性故障,配件间没有连接，连接后能够正常运用|,2,A,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
A3,接触性故障,配件间连接了但接触不好，通过重新插拔能够正常工作|,2,A,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
A4,调节类故障,通过调节旋钮或位置能够使设备正常工作|,2,A,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
A5,清理类故障,通过清理灰尘或表面氧化物等污物，能够使设备正常工作|,2,A,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
A6,驱动安装,配件的驱动安装,2,A,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
A7,结构损坏,显示器外壳开裂、打印机机盖断脚|,2,A,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
A8,其他,不在列表中的故障，需要文字说明|,2,A,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B,主板故障,,1,%,1,1,3,MB,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B1,爆电容,主板表面电容有突起现象|直观,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B2,IDE口,IDE口坏|保证硬盘及数据线完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B3,SATA口,SATA口坏|保证硬盘及数据线完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B4,LTP口,LTP口坏|保证打印机及数据线完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B5,COM口,COM口坏|保证串口设备完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B6,USB口,USB口坏|保证USB设备完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B7,PS/2口,PS/2口坏|保证键盘或扫描设备及数据线完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B8,VGA口,VGA口坏|保证显示器完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
B9,内存插槽,内存插槽坏|保证内存完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BA,PCI插槽,PCI插槽坏|保证PCI设备完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BB,LAN口,LAN口坏|保证网络及网线完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BC,AUDIO口,AUDIO口坏|保证音箱设备完好的情况下进行加电测试,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BD,COMS电池,电池电压低于2.7V|用万用表检测,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BF,COMS掉电,CMOS初始化状态|用万用表检测是否有漏电现象，主板上是否有污物及是否爆电容,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BG,COMS时间不准,时间与北京时间相差10分钟|直观,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BH,CPU风扇,风扇不转|用手去波动风扇是否转动，及加电后替换法进行检测,2,B,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS,扫描设备,第5位：“P”为电源类；“T”为支架类；“L”为线材类。,1,%,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS10,10,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS1000,C1000红光枪（套件）,,3,BS10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS1001,C1000红光枪,,3,BS10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS10L1,C1000红光枪数据线,,3,BS10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS22,22,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS2200,LS2208激光枪(套件),,3,BS22,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS2201,LS2208激光枪,,3,BS22,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS22L1,LS2208激光枪线,,3,BS22,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS22T1,LS2208激光枪托,,3,BS22,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS30,30,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS3000,HR1030红光枪（套件）,,3,BS30,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS3001,HR1030红光枪,,3,BS30,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS30L1,HR1030红光枪数据线,,3,BS30,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS30T1,HR1030红光枪支架,,3,BS30,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS31,31,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS3100,HR1030红光枪USB口(套件),,3,BS31,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS3101,HR1030红光枪USB口,,3,BS31,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS31L1,HR1030红光枪USB口数据线,,3,BS31,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS31T1,HR1030红光枪USB口支架,,3,BS31,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS68,68,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS6800,AS6800激光平台（套件）,,3,BS68,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS6801,AS6800激光平台,,3,BS68,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS68L1,AS6800激光平台数据线,,3,BS68,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS68P1,AS6800激光平台电源,,3,BS68,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS71,71,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
