menu_cd,menu_nm,parent_cd,menu_order,status,created_at,updated_at,levelcd,parent,picname,ordno,openflg,childflg,useflg
appraisals,供应商评价,procurement,7,1,2026-05-15 18:25:11.280536,2026-05-15 18:25:11.280536,,,,,,0,1
area-management,区域人员管理,itsm,8,1,2026-07-14 15:15:29.753259,2026-07-14 15:15:29.753259,,,,,,,1
assets,资产台账,master,8,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
codes,系统字典,system,5,1,2026-05-10 23:28:01.281896,2026-05-10 23:28:01.281896,,,,,,,1
customers,客户管理,master,6,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
dashboard,首页,,1,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
depts,部门管理,system,2,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
dispatch-rules,派单规则,itsm,9,1,2026-07-15 17:42:49.417985,2026-07-15 17:42:49.417985,,,,,,,1
eid,EID管理,master,7,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
groups,用户组管理,system,3,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
items,物料管理,master,5,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
master,基础数据,,3,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
params,系统参数,system,4,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
proc-dashboard,执行看板,procurement,1,1,2026-05-23 15:57:35.690824,2026-05-23 15:57:35.690824,,,,,,0,1
proc-orders,采购订单,procurement,3,1,2026-05-23 15:57:35.690824,2026-05-23 15:57:35.690824,,,,,,0,1
proc-requisitions,采购需求,procurement,2,1,2026-05-23 15:57:35.690824,2026-05-23 15:57:35.690824,,,,,,0,1
proc-returns,采购退货,procurement,5,1,2026-05-16 21:10:44.536374,2026-05-16 21:10:44.536374,,,,,,0,1
proc-settlements,采购结算单,procurement,4,1,2026-05-23 15:57:35.690824,2026-05-23 15:57:35.690824,,,,,,0,1
suppliers,供应商管理,procurement,6,1,2026-05-15 13:14:59.126493,2026-05-15 13:14:59.126493,,,,,,0,1
system,系统管理,,2,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
users,用户管理,system,1,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
warehouse-config,warehouse config,warehouse,1,1,2026-06-14 21:10:19.003571,2026-06-14 21:10:19.003571,2,,,,,0,1
warehouses,仓库管理,master,9,1,2026-05-08 22:47:17.950236,2026-05-08 22:47:17.950236,,,,,,,1
