id,menu_cd,func_cd,func_nm,created_at,updated_at,useflg
91,accounts,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
106,adjust-prices,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
114,alert-logs,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
113,alert-rules,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
116,all-transactions,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
73,appraisals,view,查看,2026-05-15 18:25:11.280536,2026-05-15 18:25:11.280536,1
122,archives,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
173,area-management,view,查看,2026-07-14 15:15:29.753259,2026-07-14 15:15:29.753259,1
135,asset-attrib,view,查看,2026-05-16 21:18:24.052169,2026-05-16 21:18:24.052169,1
69,asset-check,view,查看,2026-05-15 18:15:28.42582,2026-05-15 18:15:28.42582,1
29,assets,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
100,attendance,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
102,attendance-count,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
101,attendance-list,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
87,billing,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
88,billing-rules,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
89,bills,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
43,bom,create,新增,2026-05-14 13:46:05.172952,2026-05-14 13:46:05.172952,1
45,bom,delete,删除,2026-05-14 13:46:05.172952,2026-05-14 13:46:05.172952,1
44,bom,edit,编辑,2026-05-14 13:46:05.172952,2026-05-14 13:46:05.172952,1
42,bom,view,查看,2026-05-14 13:39:37.053083,2026-05-14 13:39:37.053083,1
71,calls,view,查看,2026-05-15 18:25:11.280536,2026-05-15 18:25:11.280536,1
39,codes,create,新增,2026-05-10 23:28:01.298674,2026-05-10 23:28:01.298674,1
41,codes,delete,删除,2026-05-10 23:28:01.298674,2026-05-10 23:28:01.298674,1
40,codes,edit,编辑,2026-05-10 23:28:01.298674,2026-05-10 23:28:01.298674,1
38,codes,view,查看,2026-05-10 23:28:01.298674,2026-05-10 23:28:01.298674,1
84,contract,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
85,contracts,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
22,customers,create,新增,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
24,customers,delete,删除,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
23,customers,edit,编辑,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
21,customers,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
2,dashboard,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
96,deposit,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
98,deposit-details,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
99,deposit-io,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
97,deposits,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
95,depreciation,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
8,depts,create,新增,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
10,depts,delete,删除,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
9,depts,edit,编辑,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
7,depts,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
59,device-change,view,查看,2026-05-15 11:42:09.92763,2026-05-15 11:42:09.92763,1
111,device-conn,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
112,device-data,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
175,dispatch-rules,create,新增,2026-07-15 18:07:55.442107,2026-07-15 18:07:55.442107,1
177,dispatch-rules,delete,删除,2026-07-15 18:07:55.442107,2026-07-15 18:07:55.442107,1
176,dispatch-rules,edit,编辑,2026-07-15 18:07:55.442107,2026-07-15 18:07:55.442107,1
174,dispatch-rules,view,查看,2026-07-15 17:42:49.417985,2026-07-15 17:42:49.417985,1
26,eid,create,新增,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
28,eid,delete,删除,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
27,eid,edit,编辑,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
25,eid,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
90,finance,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
131,free-replace,audit,审核,2026-05-16 21:10:44.536374,2026-05-16 21:10:44.536374,1
130,free-replace,create,创建,2026-05-16 21:10:44.536374,2026-05-16 21:10:44.536374,1
128,free-replace,view,查看,2026-05-16 21:10:44.536374,2026-05-16 21:10:44.536374,1
12,groups,create,新增,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
14,groups,delete,删除,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
13,groups,edit,编辑,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
11,groups,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
104,inv-limits,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
103,inventory,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
86,invoices,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
110,iot,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
18,items,create,新增,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
20,items,delete,删除,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
19,items,edit,编辑,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
17,items,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
56,itsm,view,查看,2026-05-15 11:22:04.430949,2026-05-15 11:22:04.430949,1
63,itsm-open,view,查看,2026-05-15 12:07:23.612659,2026-05-15 12:07:23.612659,1
141,labels,view,查看,2026-05-16 22:44:15.078187,2026-05-16 22:44:15.078187,1
120,maint-plans,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
121,maint-t17,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
57,maintenance,view,查看,2026-05-15 11:22:04.430949,2026-05-15 11:22:04.430949,1
124,master,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
139,materials,create,创建,2026-05-16 21:18:24.052169,2026-05-16 21:18:24.052169,1
138,materials,view,查看,2026-05-16 21:18:24.052169,2026-05-16 21:18:24.052169,1
107,mes,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
83,notif-list,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
82,notif-tpl,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
81,notification,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
133,overlost,audit,审核,2026-05-16 21:10:44.536374,2026-05-16 21:10:44.536374,1
132,overlost,create,创建,2026-05-16 21:10:44.536374,2026-05-16 21:10:44.536374,1
127,overlost,view,查看,2026-05-16 21:10:44.536374,2026-05-16 21:10:44.536374,1
16,params,edit,编辑,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
15,params,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
93,payables,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
94,payments,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
48,plans,create,新增,2026-05-15 10:38:07.940077,2026-05-15 10:38:07.940077,1
49,plans,edit,编辑,2026-05-15 10:38:07.940077,2026-05-15 10:38:07.940077,1
47,plans,view,查看,2026-05-15 10:38:07.940077,2026-05-15 10:38:07.940077,1
74,portal,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
75,portal-users,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
72,pos-change,view,查看,2026-05-15 18:25:11.280536,2026-05-15 18:25:11.280536,1
172,pos-models,view,查看,2026-06-26 16:12:14.133345,2026-06-26 16:12:14.133345,1
142,pos-status,view,查看,2026-05-16 22:44:15.078187,2026-05-16 22:44:15.078187,1
105,prices,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
144,proc-dashboard,view,查看,2026-05-23 15:57:35.693637,2026-05-23 15:57:35.693637,1
157,proc-orders,audit,审核,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
154,proc-orders,create,创建,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
156,proc-orders,delete,删除,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
155,proc-orders,edit,编辑,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
146,proc-orders,view,查看,2026-05-23 15:57:35.693637,2026-05-23 15:57:35.693637,1
152,proc-requisitions,audit,审核,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
149,proc-requisitions,create,创建,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
151,proc-requisitions,delete,删除,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
150,proc-requisitions,edit,编辑,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
145,proc-requisitions,view,查看,2026-05-23 15:57:35.693637,2026-05-23 15:57:35.693637,1
165,proc-returns,audit,审核,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
134,proc-returns,create,创建,2026-05-16 21:10:44.536374,2026-05-16 21:10:44.536374,1
